Ejecucion;Instancia;Algoritmo;Poi position;Poi Type;Poi tiempos;
1;0;SH_TIMESTAMP;2,2;Vigilar;35.6719760895;61.7271127701
1;0;SH_TIMESTAMP;2,2;Critico;1.7271020412;
